OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
630,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Village Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
651,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Tier2,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
594,5th by Northwest Area Plan,2009-03-02T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:44:11.000Z,,Early Adoption
1440,Northland I Area Plan,2014-02-03T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
718,Near East Area Plan,2005-09-19T00:00:00.000Z,Not specified,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
426,Southwest Area Plan,2009-03-02T00:00:00.000Z,Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
545,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
1775,Far North Area Plan,2014-09-15T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
556,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Very Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
655,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Urban Medium Density 5 - 8 DUs/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
670,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Parking,Other,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
444,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Light Manufacturing,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
461,South Central Accord,1997-07-21T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
407,Greater Hilltop Plan,2010-09-27T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
687,Northland Plan - Volume II,2002-06-24T00:00:00.000Z,Little Turtle District,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
1429,Northland I Area Plan,2014-02-03T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1430,Northland I Area Plan,2014-02-03T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1431,Northland I Area Plan,2014-02-03T00:00:00.000Z,Warehouse Flex,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1432,Northland I Area Plan,2014-02-03T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1433,Northland I Area Plan,2014-02-03T00:00:00.000Z,Mixed Use (Community),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1434,Northland I Area Plan,2014-02-03T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1435,Northland I Area Plan,2014-02-03T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1436,Northland I Area Plan,2014-02-03T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1437,Northland I Area Plan,2014-02-03T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
